,reference,layer_key,kernel_index,n_bits_flipped,bit_disrupted,q_aware_test_accuracy,q_aware_test_acc_degradation,q_aware_test_loss
,original,,,,,0.9114999771118164,,0.2890910804271698
,new reference,,,,,0.9115999937057495,,0.2891831398010254
0,2023/06/29 13:20:16,quant_conv2d,1,1,0,0.9115999937057495,0.0,0.2891831398010254
1,2023/06/29 13:20:21,quant_conv2d,1,2,0,0.9115999937057495,0.0,0.2891831398010254
2,2023/06/29 13:20:25,quant_conv2d,1,3,0,0.9115999937057495,0.0,0.2891831398010254
3,2023/06/29 13:20:30,quant_conv2d,1,4,0,0.9115999937057495,0.0,0.2891831398010254
4,2023/06/29 13:20:34,quant_conv2d,1,1,1,0.9115999937057495,0.0,0.2891831398010254
5,2023/06/29 13:20:39,quant_conv2d,1,2,1,0.9115999937057495,0.0,0.2891831398010254
6,2023/06/29 13:20:43,quant_conv2d,1,3,1,0.9115999937057495,0.0,0.2891831398010254
7,2023/06/29 13:20:48,quant_conv2d,1,4,1,0.9115999937057495,0.0,0.28918787837028503
8,2023/06/29 13:20:52,quant_conv2d,1,1,2,0.9115999937057495,0.0,0.2891831398010254
9,2023/06/29 13:20:56,quant_conv2d,1,2,2,0.9115999937057495,0.0,0.2891831398010254
10,2023/06/29 13:21:01,quant_conv2d,1,3,2,0.9115999937057495,0.0,0.2891831398010254
11,2023/06/29 13:21:05,quant_conv2d,1,4,2,0.9115999937057495,0.0,0.28918302059173584
12,2023/06/29 13:21:09,quant_conv2d,1,1,3,0.9115999937057495,0.0,0.2891831398010254
13,2023/06/29 13:21:14,quant_conv2d,1,2,3,0.9115999937057495,0.0,0.2891789674758911
14,2023/06/29 13:21:18,quant_conv2d,1,3,3,0.9115999937057495,0.0,0.2891751825809479
15,2023/06/29 13:21:23,quant_conv2d,1,4,3,0.9115999937057495,0.0,0.2891903221607208
16,2023/06/29 13:21:28,quant_conv2d,1,1,4,0.9115999937057495,0.0,0.28916433453559875
17,2023/06/29 13:21:32,quant_conv2d,1,2,4,0.9115999937057495,0.0,0.2891831398010254
18,2023/06/29 13:21:37,quant_conv2d,1,3,4,0.9115999937057495,0.0,0.28917747735977173
19,2023/06/29 13:21:42,quant_conv2d,1,4,4,0.9115999937057495,0.0,0.28918302059173584
20,2023/06/29 13:21:46,quant_conv2d,1,1,5,0.9115999937057495,0.0,0.2892092764377594
21,2023/06/29 13:21:51,quant_conv2d,1,2,5,0.9115999937057495,0.0,0.28918972611427307
22,2023/06/29 13:21:56,quant_conv2d,1,3,5,0.9115999937057495,0.0,0.2891766130924225
23,2023/06/29 13:22:00,quant_conv2d,1,4,5,0.9114999771118164,-0.00010001659393310547,0.28916260600090027
24,2023/06/29 13:22:05,quant_conv2d,1,1,6,0.9115999937057495,0.0,0.2891715466976166
25,2023/06/29 13:22:09,quant_conv2d,1,2,6,0.9118000268936157,0.00020003318786621094,0.2892035245895386
26,2023/06/29 13:22:14,quant_conv2d,1,3,6,0.9115999937057495,0.0,0.2891850471496582
27,2023/06/29 13:22:19,quant_conv2d,1,4,6,0.9115999937057495,0.0,0.28917941451072693
28,2023/06/29 13:22:24,quant_conv2d,1,1,7,0.9115999937057495,0.0,0.28919827938079834
29,2023/06/29 13:22:29,quant_conv2d,1,2,7,0.9115999937057495,0.0,0.28917133808135986
30,2023/06/29 13:22:33,quant_conv2d,1,3,7,0.9115999937057495,0.0,0.2891637086868286
31,2023/06/29 13:22:38,quant_conv2d,1,4,7,0.9115999937057495,0.0,0.2892161011695862
32,2023/06/29 13:22:43,quant_conv2d,1,1,8,0.9115999937057495,0.0,0.28918203711509705
33,2023/06/29 13:22:47,quant_conv2d,1,2,8,0.9115999937057495,0.0,0.28923338651657104
34,2023/06/29 13:22:52,quant_conv2d,1,3,8,0.9115999937057495,0.0,0.2891919016838074
35,2023/06/29 13:22:57,quant_conv2d,1,4,8,0.9115999937057495,0.0,0.28922080993652344
36,2023/06/29 13:23:01,quant_conv2d,1,1,9,0.9115999937057495,0.0,0.2891882061958313
37,2023/06/29 13:23:06,quant_conv2d,1,2,9,0.9117000102996826,0.00010001659393310547,0.28916385769844055
38,2023/06/29 13:23:11,quant_conv2d,1,3,9,0.9115999937057495,0.0,0.2892528176307678
39,2023/06/29 13:23:15,quant_conv2d,1,4,9,0.9115999937057495,0.0,0.28922566771507263
40,2023/06/29 13:23:20,quant_conv2d,1,1,10,0.9115999937057495,0.0,0.2891503572463989
